
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:96:82:A1:6A:50, 2025-01-17 14:02:33, 2025-01-17 14:02:34,  1, 648, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   5, SAMMY, 
D4:B7:09:D0:ED:30, 2025-01-17 14:02:33, 2025-01-17 14:03:25,  1, 130, WPA2, CCMP TKIP, PSK, -67,       38,        0,   0.  0.  0.  0,  18, MARCELA_2.4Ghz_ETB, 
48:BD:CE:3C:97:01, 2025-01-17 14:02:33, 2025-01-17 14:03:26,  1, 130, WPA2, CCMP, PSK, -54,       44,      319,   0.  0.  0.  0,   7, WILCHES, 
E8:6E:44:E0:4B:28, 2025-01-17 14:02:34, 2025-01-17 14:03:26,  8, 270, WPA2, CCMP, PSK, -70,       39,        0,   0.  0.  0.  0,   9, REDPEGUIE, 
F4:95:1B:B1:67:70, 2025-01-17 14:02:34, 2025-01-17 14:02:52,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D8:9F:D4:07:EF:F1, 2025-01-17 14:02:34, 2025-01-17 14:03:27,  6, 130, WPA2, CCMP TKIP, PSK, -54,       38,        0,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
F4:95:1B:93:37:98, 2025-01-17 14:02:34, 2025-01-17 14:03:25,  2, 540, WPA2 WPA, CCMP TKIP, PSK, -70,       18,        0,   0.  0.  0.  0,  15, Nick Winterfell, 
08:33:ED:ED:73:9F, 2025-01-17 14:02:34, 2025-01-17 14:03:25,  1, 648, WPA2, CCMP, PSK, -66,       28,        0,   0.  0.  0.  0,   4, Mlop, 
F4:95:1B:ED:D1:90, 2025-01-17 14:02:34, 2025-01-17 14:03:27,  9,  65, WPA2, CCMP TKIP, PSK, -68,       50,        0,   0.  0.  0.  0,  12, CLARO_WIFI2F, 
F4:95:1B:B1:5C:20, 2025-01-17 14:02:35, 2025-01-17 14:03:26,  3, 540, WPA2 WPA, CCMP TKIP, PSK, -68,       45,        0,   0.  0.  0.  0,  12, Claro_641A42, 
2C:70:4F:53:0E:9B, 2025-01-17 14:02:36, 2025-01-17 14:03:27,  4, 130, WPA2, CCMP TKIP, PSK, -60,       23,        0,   0.  0.  0.  0,  13, SEBASTIAN_ETB, 
FC:12:63:BA:4D:CF, 2025-01-17 14:02:36, 2025-01-17 14:03:27, 11, 130, WPA2, CCMP, PSK, -59,       65,        0,   0.  0.  0.  0,   9, Luna_Diaz, 
74:26:FF:E5:6B:8C, 2025-01-17 14:02:36, 2025-01-17 14:03:27, 11, 130, WPA2, CCMP TKIP, PSK, -67,       58,        2,   0.  0.  0.  0,  28, FAMILIA MARTINEZ 2.4 Y 5.0 G, 
F4:95:1B:DB:4D:F8, 2025-01-17 14:02:36, 2025-01-17 14:03:27, 10, 540, WPA2 WPA, CCMP TKIP, PSK, -50,       75,        0,   0.  0.  0.  0,  12, Claro_6D7931, 
F8:64:B8:D0:51:AE, 2025-01-17 14:02:36, 2025-01-17 14:03:27, 11, 130, WPA2, CCMP TKIP, PSK, -74,       45,        1,   0.  0.  0.  0,  17, ESCRITORIO_2.4GHz, 
74:26:FF:E5:D1:0E, 2025-01-17 14:02:36, 2025-01-17 14:03:27, 11, 130, WPA2, CCMP TKIP, PSK, -58,       23,        0,   0.  0.  0.  0,  13, SEBASTIAN_ETB, 
D8:9F:D4:07:6F:D1, 2025-01-17 14:02:37, 2025-01-17 14:03:27,  6, 130, WPA2, CCMP TKIP, PSK, -54,       26,        1,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
76:78:E5:4C:C6:CD, 2025-01-17 14:02:37, 2025-01-17 14:02:51, 11, 180, WPA2, CCMP, PSK, -67,        4,        0,   0.  0.  0.  0,  18, Fabian Corporativo, 
28:77:77:D5:85:88, 2025-01-17 14:02:38, 2025-01-17 14:02:53,  3, 130, WPA2, CCMP, PSK, -82,        5,        0,   0.  0.  0.  0,  10, DOMINGUEZ , 
82:ED:50:6C:F7:7D, 2025-01-17 14:02:39, 2025-01-17 14:02:43,  4,  54, WPA2, CCMP, PSK, -79,        3,        0,   0.  0.  0.  0,  19, TECNO SPARK Go 2024, 
50:A5:DC:D2:3B:F5, 2025-01-17 14:02:40, 2025-01-17 14:03:27, 11, 195, WPA2, CCMP, PSK, -79,        5,        0,   0.  0.  0.  0,  13, VILLALBA_PAYA, 
28:57:3A:D5:64:61, 2025-01-17 14:02:40, 2025-01-17 14:02:40,  6, 130, WPA2, CCMP TKIP, PSK, -66,        1,        0,   0.  0.  0.  0,  16, SANCHEZ_CUBILLOS, 
1A:25:57:07:1A:10, 2025-01-17 14:02:40, 2025-01-17 14:02:40,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -67,        1,        0,   0.  0.  0.  0,  19, iPhone de santi😇, 
28:57:3A:DB:70:01, 2025-01-17 14:02:40, 2025-01-17 14:03:24,  6, 130, WPA2, CCMP TKIP, PSK, -81,       12,        0,   0.  0.  0.  0,  17, FamiliaTorresO-5G, 
28:57:3A:F0:65:41, 2025-01-17 14:02:40, 2025-01-17 14:03:27,  6, 130, WPA2, CCMP TKIP, PSK, -61,        9,        0,   0.  0.  0.  0,   9, ABY_OLAYA, 
94:BF:95:6D:63:4C, 2025-01-17 14:02:42, 2025-01-17 14:02:42,  8, 130, WPA2 WPA, CCMP, PSK, -73,        0,        0,   0.  0.  0.  0,   7, MADEIRO, 
F8:E5:A4:51:84:11, 2025-01-17 14:02:44, 2025-01-17 14:02:55, 11, 130, WPA2, CCMP TKIP, PSK, -86,        3,        0,   0.  0.  0.  0,   7, SERBULO, 
74:26:FF:E5:F5:6E, 2025-01-17 14:02:44, 2025-01-17 14:03:23, 11, 130, WPA2, CCMP TKIP, PSK, -80,       16,        0,   0.  0.  0.  0,  18, JORDAN_FORERO_2.4G, 
08:33:ED:B1:15:3F, 2025-01-17 14:02:44, 2025-01-17 14:03:24,  1, 648, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,  10, Jorge Luis, 
74:93:DA:D4:53:3F, 2025-01-17 14:02:48, 2025-01-17 14:03:21,  1, 648, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,  21, Carlos Orlando moreno, 
10:A7:93:7A:B3:01, 2025-01-17 14:02:55, 2025-01-17 14:03:21,  1, 130, WPA2, CCMP, PSK, -94,        3,        0,   0.  0.  0.  0,  12, Carol cortes, 
00:E0:4C:60:98:A0, 2025-01-17 14:02:59, 2025-01-17 14:02:59,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
28:77:77:D7:12:14, 2025-01-17 14:03:01, 2025-01-17 14:03:22,  9, 130, WPA2, CCMP, PSK, -74,        5,        0,   0.  0.  0.  0,   8, MANCILLA, 
58:2F:F7:05:B9:56, 2025-01-17 14:03:23, 2025-01-17 14:03:27, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -82,        2,        0,   0.  0.  0.  0,  16, Familia_Bautista, 
1A:8B:49:73:81:40, 2025-01-17 14:03:27, 2025-01-17 14:03:27,  6, 180, WPA2, CCMP, PSK, -59,        0,        0,   0.  0.  0.  0,   9, vivo Y33s, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:B5:D0:60:E8:41, 2025-01-17 14:02:33, 2025-01-17 14:03:26, -29,      101, 48:BD:CE:3C:97:01,
84:C8:A0:F9:59:45, 2025-01-17 14:02:34, 2025-01-17 14:02:52, -78,        8, F4:95:1B:B1:67:70,
64:49:7D:AF:CC:9C, 2025-01-17 14:02:36, 2025-01-17 14:02:36, -57,        3, F8:64:B8:D0:51:AE,
C4:9F:4C:D9:1C:53, 2025-01-17 14:02:41, 2025-01-17 14:03:21, -56,      237, 48:BD:CE:3C:97:01,
B8:94:36:8E:33:1D, 2025-01-17 14:02:41, 2025-01-17 14:02:44, -78,        4, D4:B7:09:D0:ED:30,
0A:D0:2B:5E:43:4C, 2025-01-17 14:02:42, 2025-01-17 14:03:17, -54,        5, (not associated) ,
22:BF:C4:11:0E:A8, 2025-01-17 14:02:42, 2025-01-17 14:02:42, -47,        1, D4:B7:09:D0:ED:30,
36:07:11:32:B1:40, 2025-01-17 14:02:42, 2025-01-17 14:02:42, -62,        1, (not associated) ,
00:BF:AF:C8:75:AE, 2025-01-17 14:02:44, 2025-01-17 14:02:44, -87,        1, 28:57:3A:F0:65:41,
FA:29:D3:FC:FF:FB, 2025-01-17 14:02:44, 2025-01-17 14:03:24, -81,       13, D4:B7:09:D0:ED:30,
7E:87:AB:00:90:10, 2025-01-17 14:02:50, 2025-01-17 14:02:50, -80,        1, (not associated) ,
1E:70:F9:71:77:23, 2025-01-17 14:02:50, 2025-01-17 14:03:27, -69,       25, F8:64:B8:D0:51:AE,
A6:80:17:1B:49:DD, 2025-01-17 14:02:53, 2025-01-17 14:02:53, -81,        2, (not associated) ,familia Ramírez 
D8:B0:53:8E:53:F2, 2025-01-17 14:02:55, 2025-01-17 14:02:55, -84,        1, D8:9F:D4:07:6F:D1,
FE:29:71:8C:F8:77, 2025-01-17 14:02:57, 2025-01-17 14:02:57, -79,        1, (not associated) ,
42:64:46:F6:88:32, 2025-01-17 14:03:00, 2025-01-17 14:03:00, -77,        1, (not associated) ,
A2:A2:D5:BA:A2:6B, 2025-01-17 14:03:06, 2025-01-17 14:03:06, -57,        1, (not associated) ,
4E:54:38:97:09:6C, 2025-01-17 14:03:24, 2025-01-17 14:03:24, -70,        1, (not associated) ,
00:9A:CD:EF:0E:34, 2025-01-17 14:03:26, 2025-01-17 14:03:26, -83,        1, 58:2F:F7:05:B9:56,
BA:15:E6:51:9D:5C, 2025-01-17 14:03:27, 2025-01-17 14:03:27, -41,        7, (not associated) ,Claro_07770C,sc-e7a8
38:C8:04:D5:D3:61, 2025-01-17 14:03:27, 2025-01-17 14:03:27, -70,        1, 74:26:FF:E5:6B:8C,
36:74:DE:E7:50:90, 2025-01-17 14:03:27, 2025-01-17 14:03:27, -82,        1, (not associated) ,

